settings,seq.length,n.tax,mean.rate,sd.rate,root.height,mult.cal,n.cal,exclude.root,rate.dist,clock,mcmc.length,mcmc.freq,paths,n.simulations,mix.model
settings1,2000,50,-4.60517,0.1,50,fixed,5,F,lognormal,exponential,10000,100,paths.txt,3,T
settings2,2000,50,-4.60517,0.5,50,fixed,5,F,lognormal,exponential,10000,100,paths.txt,3,F
settings3,2000,50,-4.60517,0.1,50,fixed,5,F,lognormal,lognormal,10000,100,paths.txt,3,T
settings4,2000,50,-4.60517,0.5,50,fixed,5,F,lognormal,lognormal,10000,100,paths.txt,3,F
settings5,2000,50,-4.60517,0.1,50,fixed,10,F,lognormal,exponential,10000,100,paths.txt,3,T
settings6,2000,50,-4.60517,0.5,50,fixed,10,F,lognormal,exponential,10000,100,paths.txt,3,T
settings7,2000,50,-4.60517,0.1,50,fixed,10,F,lognormal,lognormal,10000,100,paths.txt,3,T
settings8,2000,50,-4.60517,0.5,50,fixed,10,F,lognormal,lognormal,10000,100,paths.txt,3,T
settings9,2000,50,-4.60517,0.1,50,fixed,20,F,lognormal,exponential,10000,100,paths.txt,3,T
settings10,2000,50,-4.60517,0.5,50,fixed,20,F,lognormal,exponential,10000,100,paths.txt,3,T
settings11,2000,50,-4.60517,0.1,50,fixed,20,F,lognormal,lognormal,10000,100,paths.txt,3,T
settings12,2000,50,-4.60517,0.5,50,fixed,20,F,lognormal,lognormal,10000,100,paths.txt,3,F
settings13,2000,50,-4.60517,0.1,50,fixed,40,F,lognormal,exponential,10000,100,paths.txt,3,F
settings14,2000,50,0.001,0.5,50,fixed,40,F,exponential,lognormal,10000,100,paths.txt,3,T
settings15,2000,50,-4.60517,0.1,50,fixed,40,F,lognormal,lognormal,10000,100,paths.txt,3,T
settings16,2000,50,-4.60517,0.5,50,fixed,40,F,lognormal,lognormal,10000,100,paths.txt,3,T
settings17,2000,50,-4.60517,0.1,50,fixed,2,F,lognormal,exponential,10000,100,paths.txt,3,T
settings18,2000,50,-4.60517,0.5,50,fixed,2,F,lognormal,exponential,10000,100,paths.txt,3,T
settings19,2000,50,-4.60517,0.1,50,fixed,2,F,lognormal,lognormal,10000,100,paths.txt,3,T
settings20,2000,50,-4.60517,0.5,50,fixed,2,F,lognormal,lognormal,10000,100,paths.txt,3,T
